unnamed_0,pid,sex,age,race,delay,counterbalance,order_cond,cfmt_score,cfmt_itemlevel_est,cfmt_setlevel_est,cfmt_self_perc,cfmq,cfmq01,lineup_setlevel_est,lineup_self_perc,lineup,repetitions,position,tpta,firstclick,lastclick,pagesubmit,decision,expression,justification,confidence,accuracy,spell_expression,spell_justification,expression_spellcheck,justification_spellcheck,log_rt,chooser,state_comb,log_rt_mad,cfmt_z,cfmq_z,log_rt_z,confidence_z,confidence_order,target,combined_spellcheck
1,1,Female,55,White,fiveMin,cb8,order2,49,59.33333333,32,62,64,3,2,25,L8,2,11,TA,9.86,39.099,40.017,Foil 6,a little certain,I think I have seen this face before,60,0,0,0,a little certain,I think I have seen this face before,2.28848616861454,yes,a little certain I think I have seen this face before,0.346616121374828,-0.827804421733795,-0.439094464557563,0.304680467913133,-0.0181397930713375,60,0,a little certain I think I have seen this face before
2,1,Female,55,White,fiveMin,cb8,order2,49,59.33333333,32,62,64,3,2,25,L3,4,7,TP,11.365,35.846,37.804,Target,pretty certain,I remember this face,80,1,0,0,pretty certain,I remember this face,2.43053845730451,yes,pretty certain I remember this face,0.531160609271439,-0.827804421733795,-0.439094464557563,0.486518560847215,0.686438506125266,80,1,pretty certain I remember this face
3,2,Female,36,White,day,cb8,order1,59,62.66666667,26,35,74,3,2,11,L6,2,2,TP,5.77,33.119,33.575,Target,Mid range certainty,I think I saw him yesterday,40,1,0,0,Mid range certainty,I think I saw him yesterday,1.75267208052001,yes,Mid range certainty I think I saw him yesterday,-0.349476404885065,0.221596711356646,0.77287175260934,-0.381203672672408,-0.722718092267941,40,1,Mid range certainty I think I saw him yesterday
4,2,Female,36,White,day,cb8,order1,59,62.66666667,26,35,74,3,2,11,L10,2,8,TA,46.934,70.305,70.896,Foil 6,Not very certain,I think he looks familiar but I can't be sure.,40,0,0,0,Not very certain,I think he looks familiar but I can't be sure.,3.8487423595004,yes,Not very certain I think he looks familiar but I can't be sure.,2.37359282403807,0.221596711356646,0.77287175260934,2.30193100752606,-0.722718092267941,40,0,Not very certain I think he looks familiar but I can't be sure.
5,2,Female,36,White,day,cb8,order1,59,62.66666667,26,35,74,3,2,11,L11,2,10,TP,2.934,35.081,35.9,Foil 3,mid range certainty,His eyes look familiar.,60,0,0,0,mid range certainty,His eyes look familiar.,1.07636667972079,yes,mid range certainty His eyes look familiar.,-1.22808550723192,0.221596711356646,0.77287175260934,-1.24692773425903,-0.0181397930713375,60,0,mid range certainty His eyes look familiar.
6,2,Female,36,White,day,cb8,order1,59,62.66666667,26,35,74,3,2,11,L5,4,5,TP,20.232,77.048,77.747,Target,I am not very certain,I'm not certain because they all kind of look the same.,40,1,0,0,I am not very certain,I'm not certain because they all kind of look the same.,3.00726550936766,yes,I am not very certain I'm not certain because they all kind of look the same.,1.28040442266336,0.221596711356646,0.77287175260934,1.22477451052463,-0.722718092267941,40,1,I am not very certain I'm not certain because they all kind of look the same.
7,2,Female,36,White,day,cb8,order1,59,62.66666667,26,35,74,3,2,11,L3,4,12,TP,3.955,23.132,23.566,Foil 2,Certain,I remember seeing him yesterday.,100,0,0,0,Certain,I remember seeing him yesterday.,1.37498060121962,yes,Certain I remember seeing him yesterday.,-0.840146997194424,0.221596711356646,0.77287175260934,-0.864678447678184,1.39101680532187,100,0,Certain I remember seeing him yesterday.
8,2,Female,36,White,day,cb8,order1,59,62.66666667,26,35,74,3,2,11,L7,4,4,TA,2.76,39.633,40.201,Foil 2,So so certainty,His nose looks kind of like one of the people I saw yesterday,20,0,0,0,So so certainty,His nose looks kind of like one of the people I saw yesterday,1.01523067972906,yes,So so certainty His nose looks kind of like one of the people I saw yesterday,-1.30750916111718,0.221596711356646,0.77287175260934,-1.32518661872077,-1.42729639146454,20,0,So so certainty His nose looks kind of like one of the people I saw yesterday
9,2,Female,36,White,day,cb8,order1,59,62.66666667,26,35,74,3,2,11,L9,4,6,TA,6.026,40.725,41.571,Foil 1,Pretty certain,Because I remember someone with ears that stuck out,60,0,0,0,Pretty certain,Because I remember someone with ears that stuck out,1.79608344070811,yes,Pretty certain Because I remember someone with ears that stuck out,-0.293079374547217,0.221596711356646,0.77287175260934,-0.325633720079053,-0.0181397930713375,60,0,Pretty certain Because I remember someone with ears that stuck out
10,2,Female,36,White,day,cb8,order1,59,62.66666667,26,35,74,3,2,11,L1,4,11,TA,3.877,44.384,45.269,Foil 4,Not certain,I don't know why I just feel like maybe he was one of the pictures I saw.,40,0,0,0,Not certain,I don't know why I just feel like maybe he was one of the pictures I saw.,1.35506165868879,yes,Not certain I don't know why I just feel like maybe he was one of the pictures I saw.,-0.866024306759045,0.221596711356646,0.77287175260934,-0.890176259480245,-0.722718092267941,40,0,Not certain I don't know why I just feel like maybe he was one of the pictures I saw.
